Filename,Title,Speaker,Date,Field,More,,,,,,,,,,,,,,,,
1e93702352de4dd27818b698b4ae7a41,2008 Democratic National Convention Address,Hillary Rodham Clinton,26 August 2008,"Mile High Stadium, Denver, Colorado",,,,,,,,,,,,,,,,,
3ad0f43542345fc369cfe944d6c214a0,On Improving Broadband and Mobile Communications,Julius Genachowski,,,,,,,,,,,,,,,,,,,
3d5c7bd70046da56b8e008e2a0fe4e9d,2002 State of the Union Address,George Walker Bush,29 January 2002,"Capitol Building, Washington, D.C.",,,,,,,,,,,,,,,,,
04cabf0bed845351357c5a84df181172,Military Reporters and Editors Forum Luncheon Address,Ricardo Sanchez,12 October 2007,"Arlington, VA",,,,,,,,,,,,,,,,,
05b48d217c09460370632ec1e15295e3,Address to Joint Session of Congress Following 9/11 Attacks,George Walker Bush,20 September 2001,,,,,,,,,,,,,,,,,,
5c0cc9e531ed911f1e450ada7c36004f,Statement in Opposition to H.J. Res. 64 (alternatively S.J. Res. 23) Authorizing Military Force to Those Responsible for the Terrorist Acts,Barbara Lee,14 September 2001,,,,,,,,,,,,,,,,,,
5ef0a98264a4f8a6a689987de1f7c7c6,On the Removal of Four Confederate Monuments in New Orleans,Mitch Landrieu,19 May 2017,"Gallier Hall, New Orleans, Louisiana",,,,,,,,,,,,,,,,,
6b3f736cd968bb2e77a246204fcf3239,On Illegal Steroid Use and False Statements,Marion Jones-Thompson,,,,,,,,,,,,,,,,,,,
6c21e038eee70df83f4a528a9e11ef64,World Forum Address on the Future of Democracy,Robert Michael Gates,17 September 2007,"The College of William & Mary, Williamsburg, Virginia",,,,,,,,,,,,,,,,,
6d3912edc8281ff848470d84d7bd8290,Governors Island Address on Religious Tolerance,Michael Bloomberg,3 August 2010,,,,,,,,,,,,,,,,,,
6fa453fc72c74f829cf2489d9fcefa96,9/11 Address to the Nation,George Walker Bush,,,,,,,,,,,,,,,,,,,
9f79d3982be0509f9cf9616d6f00901f,Baseball Hall of Fame Induction Address,Ryne Sandberg,31 July 2005,"Cooperstown, NY",,,,,,,,,,,,,,,,,
33f15b0e6222d7b07d734521fe8a66e8,Farewell Address to the U.S. House of Representatives,Thomas Dale DeLay,8 June 2006,,,,,,,,,,,,,,,,,,
42e23d947d6460d04debc3d09d18820b,Address at the Public Memorial for Coretta Scott King,Attallah Shabazz,7 February 2006,"New Birth Missionary Baptist Church, Atlanta, Georgia",,,,,,,,,,,,,,,,,
43afd724d6d6a9993c0bf98e71c446f7,On the Practice and Ethics of Trying Cases in the Media,Richard Brodhead,29 September 2007,"Duke University School of Law, Durham, North Carolina",,,,,,,,,,,,,,,,,
57e1287506cc11582960c16d3fc81118,Opening Statement Before House Oversight & Govt. Reform Committee,Jessica Lynch,24 April 2007,"Washington, D.C.",,,,,,,,,,,,,,,,,
76d473e662af60099dce83b99bdc5e3e,Press Conference Announcing Resignation,James McGreevey,12 August 2004,,,,,,,,,,,,,,,,,,
81f8bf5635bffe278f274eac61337532,Eulogy Address at the Public Memorial for Jay Paterno,Joseph Vincent “Jay” Paterno,26 January 2012,"State College, PA",,,,,,,,,,,,,,,,,
095c8db0fa8fa2129ef9208ebd6a82c2,Eulogy for Robert Byrd,William Jefferson Clinton,2 July 2010,"West Virginia State Capitol, Charleston, West Virginia",,,,,,,,,,,,,,,,,
139d355f1570b7eff8c81fc25c408c34,2004 Democratic National Convention Keynote Address,Barack Obama,27 July 2004,"Fleet Center, Boston",,,,,,,,,,,,,,,,,
278fc2e962165b83d3f04ff2359c92b4,Farewell Address to the Nation,William Jefferson Clinton,18 January 2001,Oval Office ,,,,,,,,,,,,,,,,,
827c47905b3cfd4f0eb89588a8e4d47b,Rose Garden Speech on Israel-Palestine Two-State Solution,George Walker Bush,24 June 2002,"Washington, D.C.",,,,,,,,,,,,,,,,,
857f51c06be0968e7e4462d3e524a2cc,Senate Floor Speech in Support of Brett Kavanaugh,Susan Margaret Collins,5 October 2018,"Washington, D.C.",,,,,,,,,,,,,,,,,
940ab852b9ee4f1a83c6ed7b193d9e57,Nobel Lecture,"Al Gore, Jr.",10 December 2007,"Oslo, Norway",,,,,,,,,,,,,,,,,
019399e608efd3b61876539832df176b,Wellesley High School Commencement Address,"David McCullough, Jr.",1 June 2012,"Wellesley, Massachusetts",,,,,,,,,,,,,,,,,
28919ff7b4be6ed4dc2da41394b89b77,Remarks On Signing Arizona Senate Bill 1070,Janice Kay Brewer,23 April 2010,"Phoenix, Arizona",,,,,,,,,,,,,,,,,
93736baa12586c5bff825174b829480c,Address at the Georgia NAACP 20th Annual Freedom Fund Banquet,Shirley Sherrod,27 March 2010,"Douglas, Georgia",,,,,,,,,,,,,,,,,
237619c1d8fe5f832034cd6a420076b3,Opening Statement to the 9/11 Commission,Condoleezza Rice,8 April 2004,"Washington, D.C.",,,,,,,,,,,,,,,,,
514461f3d67f19bb4ea0094ca924bbdd,Presidential Election Concession Speech,"Al Gore, Jr.",13 December 2000,,,,,,,,,,,,,,,,,,
3779479a4e8acbe26f14827c23dccb63,Senate Floor Speech Following Capitol Building Incursion,Mitch McConnell,6 January 2021,"Washington, D.C.",,,,,,,,,,,,,,,,,
a0dd91fc59230b1958349be60f56f777,2004 Republican National Convention Address,Zell Miller,1 September 2004,"Madison Square Garden, New York",,,,,,,,,,,,,,,,,
a18dc4d4b6ea7e0ea4b44a5c31b7a384,Speech Marking African-American History Month,Eric Holder,18 February 2009,,,,,,,,,,,,,,,,,,
a68b94ca73f409455c3d666e93edf7fc,Address at the NAACP' on the 50th Anniversary of Brown v. Board of Education,"Bill Cosby, Jr",17 May 2004,"Constitution Hall, Washington, D.C.",,,,,,,,,,,,,,,,,
bd37dd5756c4b3e534c20333c9783013,Address to the United Nations Commission on the Status of Women,Hillary Rodham Clinton,12 March 2010,"New York, NY",,,,,,,,,,,,,,,,,
c6b13ae2202685e2151a5d6aa6771999,On the Future of the Alliance and the Mission in Afghanistan,David Petraeus,8 February 2009,45th Munich Security Conference,,,,,,,,,,,,,,,,,
c7d86ca94c4c6180ae577f3666806c3d,The Arrogance of Power,Robert C. Byrd,19 March 2003,"Senate Floor, Washington, D.C.",,,,,,,,,,,,,,,,,
c9203246b2917d498775af50bfb29565,Wriston Lecture and Q&A at the Manhattan Institute,Condoleezza Rice,1 October 2002,"Waldorf Astoria Hotel New York, NY",,,,,,,,,,,,,,,,,
cb52ad17f3b8ed833afd2bb69b13e290,Address to the United Nations General Assembly Session on Terrorism,Rudy Giuliani,1 October 2001,New York,,,,,,,,,,,,,,,,,
ddfc9b5af7473578ba7387516cbcb98b,Nobel Lecture,Barack Obama,10 December 2009,"Oslo City Hall, Oslo, Norway",,,,,,,,,,,,,,,,,
df6df079044e1450a91b77e02e6b5f94,Speech at the at the National Baseball Hall of Fame,Buck O'Neil,30 June 2006,,,,,,,,,,,,,,,,,,
e860f59c6df2f869cdca052f2e430d5e,Speech at Mount Carmel Baptist Church,Michael Nutter,7 August 2011,"Philadelphia, Pennsylvania",,,,,,,,,,,,,,,,,
eca3e10d7fb5d44709be6eeac0803e1f,Hurricane Katrina Address to Louisiana Joint Legislature,Kathleen Blanco,14 September 2005,"Baton Rouge, LA",,,,,,,,,,,,,,,,,
fa366e198419819b0b529a3fd44be587,Keynote Address at the 54th National Prayer Breakfast,Bono,2 February 2006,"The Hilton Washington Hotel, Washington, D.C.",,,,,,,,,,,,,,,,,
ff0f80af968bbc0338b6ae838fc179a9,Faith in America,Mitt Romney,6 December 2007,"College Station, Texas",,,,,,,,,,,,,,,,,
